Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2004,1235,1165,1120,1094,1084,1110,1169,1214,1061,997,982,941,1098
2005,1029,964,948,944,935,955,1073,966,1002,921,888,838,955
2006,911,913,907,879,838,891,972,857,906,779,752,754,863
2007,943,831,776,757,829,897,1056,1017,895,900,910,895,892
2008,982,934,923,883,939,1066,1252,1397,1178,1382,1372,1583,1158
2009,1863,1888,1927,1831,2070,2194,2422,2373,2283,2120,2093,2175,2103
2010,2351,2285,2172,2015,2012,2043,2317,2273,2084,2081,2228,2140,2167
2011,2062,2025,2036,1937,2012,2044,2186,2152,1973,1998,1985,1873,2024
2012,2108,2034,1974,1765,1783,1957,2136,2160,1943,1764,1815,1866,1942
2013,1907,1922,1837,1775,1770,1923,2051,1847,1804,1826,1616,1559,1820
2014,1676,1726,1687,1527,1487,1683,1738,1774,1471,,,,
